,cnt_displayed_position,avg_displayed_position,impressed_item_ids,ipression_count,CTR
153,263,4.832699619771863,14762,5112,0.05144757433489828
154,311,2.581993569131833,14985,985,0.31573604060913707
155,311,0.6527331189710611,15192,334,0.9311377245508982
156,793,2.9243379571248425,15668,1807,0.43884892086330934
157,330,5.224242424242425,15842,1561,0.2114029468289558
158,270,5.518518518518518,15898,1060,0.25471698113207547
159,341,4.709677419354839,15962,4955,0.06881937436932392
160,269,5.096654275092937,15980,3235,0.08315301391035548
161,468,5.636752136752137,16073,2985,0.15678391959798996
162,348,5.382183908045977,16117,3729,0.09332260659694289
163,249,5.2730923694779115,16118,3781,0.06585559375826501
164,292,3.0034246575342465,16247,2868,0.10181311018131102
165,312,6.788461538461538,16674,3372,0.09252669039145907
166,316,6.64873417721519,16744,3378,0.09354647720544701
167,644,3.549689440993789,17006,1190,0.5411764705882353
168,250,2.036,17430,889,0.281214848143982
169,251,0.04780876494023904,17616,254,0.9881889763779528
170,427,2.4004683840749412,17713,3410,0.1252199413489736
171,243,8.868312757201647,18384,3455,0.0703328509406657
172,296,8.283783783783784,18394,1618,0.18294190358467244
173,287,10.968641114982578,18425,2281,0.12582200789127576
174,639,7.463223787167449,18427,5790,0.11036269430051814
175,936,1.9102564102564104,18428,10595,0.08834355828220859
176,476,8.268907563025211,18434,3400,0.14
177,319,9.407523510971787,18438,1830,0.17431693989071037
178,273,7.069597069597069,18441,3539,0.07714043515117265
179,509,6.229862475442043,18456,5832,0.08727709190672153
180,1133,6.653133274492498,18465,7504,0.1509861407249467
181,328,7.237804878048781,18479,8020,0.040897755610972565
182,315,6.717460317460318,18485,6531,0.04823151125401929
183,2055,2.102189781021898,18489,13791,0.14901022405916903
184,903,1.4363233665559247,18520,7730,0.1168175937904269
185,418,7.088516746411483,18539,7430,0.05625841184387618
186,513,4.5321637426900585,18696,6438,0.07968313140726933
187,336,7.300595238095238,18704,2307,0.14564369310793238
188,269,10.144981412639405,18711,3550,0.07577464788732394
189,460,4.758695652173913,18747,6644,0.06923540036122817
190,278,7.816546762589928,18750,5818,0.047782743210725336
191,486,5.479423868312757,18752,6477,0.07503473830477073
192,581,4.648881239242685,18755,6136,0.0946870925684485
193,394,10.380710659898478,18756,5853,0.06731590637280027
194,285,3.3157894736842106,18795,1813,0.1571980143408715
195,1703,1.5302407516147973,18802,9444,0.18032613299449385
196,395,7.141772151898734,18803,7561,0.05224176696204206
197,1618,1.723114956736712,18804,9497,0.17036959039696747
198,330,4.466666666666667,18806,5582,0.05911859548548907
199,399,9.022556390977444,18809,4641,0.08597285067873303
200,391,7.368286445012788,18815,6405,0.061046057767369245
201,457,7.5054704595186,18818,3622,0.12617338487023744
202,270,7.311111111111111,18825,4332,0.062326869806094184
203,267,9.243445692883896,18831,2050,0.1302439024390244
204,245,3.473469387755102,18864,2886,0.08489258489258489
205,394,7.246192893401015,18869,5299,0.07435365163238347
206,411,6.9391727493917275,18904,10000,0.0411
207,395,8.767088607594937,18910,6205,0.06365834004834811
208,403,8.890818858560793,18913,9710,0.041503604531410915
209,437,3.5491990846681922,18921,2489,0.17557251908396945
210,966,1.3768115942028984,18942,5947,0.1624348410963511
211,266,4.639097744360902,18943,3779,0.07038899179677163
212,262,5.679389312977099,18945,4831,0.05423307803767336
213,359,4.924791086350975,18947,5980,0.060033444816053515
214,560,7.382142857142857,18953,5976,0.09370816599732262
215,385,6.488311688311688,18965,5189,0.07419541337444595
216,825,8.353939393939394,18987,9918,0.08318209316394434
217,996,2.8845381526104417,18988,9900,0.1006060606060606
218,1303,1.8695318495778972,19004,10220,0.12749510763209393
219,871,3.7129735935706085,19006,10004,0.08706517393042783
220,250,11.516,19013,4890,0.05112474437627812
221,1260,2.0206349206349206,19046,4775,0.2638743455497382
222,325,4.16,19054,3952,0.08223684210526316
223,351,2.341880341880342,19077,1488,0.23588709677419356
224,338,3.3431952662721893,19078,1189,0.2842724978973928
225,244,4.028688524590164,19108,1380,0.17681159420289855
226,305,2.091803278688525,19122,1654,0.18440145102781136
227,282,2.3333333333333335,19135,3552,0.07939189189189189
228,364,2.9450549450549453,19158,1679,0.2167957117331745
229,762,2.2690288713910762,19207,3161,0.24106295476115153
230,359,1.6044568245125348,19313,1061,0.3383600377002828
231,430,2.953488372093023,19354,1430,0.3006993006993007
232,311,3.7363344051446945,19368,2877,0.10809871393813
233,314,6.974522292993631,19386,1840,0.17065217391304346
234,527,3.049335863377609,19389,2664,0.19782282282282282
235,387,4.170542635658915,19391,1951,0.19835981547924142
236,289,2.332179930795848,19453,1902,0.1519453207150368
237,653,3.923430321592649,19529,3033,0.21529838443785032
238,452,3.265486725663717,19532,2539,0.17802284363922805
239,1106,1.6763110307414104,19539,2574,0.4296814296814297
240,449,1.6503340757238307,19577,1502,0.2989347536617843
241,406,2.147783251231527,19597,4675,0.08684491978609625
242,1785,1.35406162464986,19599,5604,0.31852248394004284
243,265,2.4075471698113207,19603,3159,0.08388730610952833
244,1468,0.23228882833787465,19607,3514,0.4177575412635174
245,243,1.9094650205761317,19609,3352,0.07249403341288783
246,469,2.6695095948827294,19611,4840,0.096900826446281
247,382,2.026178010471204,19621,3503,0.1090493862403654
248,346,3.73121387283237,19645,3989,0.08673853096014039
249,325,2.396923076923077,19646,3834,0.08476786645800731
250,1183,1.276415891800507,19648,4129,0.2865100508597723
251,328,3.201219512195122,19676,4606,0.07121146330872774
252,392,3.247448979591837,19682,5213,0.07519662382505275
253,377,4.713527851458886,19686,4959,0.07602339181286549
254,509,2.404715127701375,19693,5322,0.09564073656520106
255,244,3.1885245901639343,19708,987,0.24721377912867273
256,1383,2.291395516992046,19768,3003,0.46053946053946054
257,257,2.859922178988327,20103,407,0.6314496314496314
258,429,6.321678321678322,32788,9954,0.04309825195901145
259,256,3.73046875,32827,2207,0.11599456275487087
260,664,4.4352409638554215,32936,7717,0.08604379940391343
261,597,1.8927973199329984,32937,960,0.621875
262,2324,1.7641996557659207,32940,7277,0.3193623746049196
263,262,5.854961832061068,32943,1870,0.14010695187165775
264,559,4.658318425760286,32952,7022,0.07960694958701224
265,537,4.56610800744879,37118,3717,0.14447134786117838
266,568,2.7200704225352115,37125,4903,0.11584744034264736
267,348,5.614942528735632,37141,3297,0.10555050045495905
268,584,2.287671232876712,37156,4970,0.11750503018108652
269,1382,1.3603473227206946,37165,3515,0.393172119487909
270,283,4.148409893992933,37324,1407,0.20113717128642503
271,301,2.2259136212624586,37906,2094,0.1437440305635148
272,772,1.1968911917098446,37941,3020,0.2556291390728477
273,473,1.748414376321353,37942,2450,0.19306122448979593
274,634,2.641955835962145,37999,2242,0.28278322925958965
275,352,2.946022727272727,38046,1353,0.2601626016260163
276,1177,1.318606627017842,38365,4069,0.2892602605062669
277,618,2.215210355987055,38372,3634,0.17006053935057788
278,342,1.8187134502923976,39498,1812,0.18874172185430463
279,259,3.718146718146718,39507,2984,0.08679624664879357
280,348,3.8333333333333335,39528,1057,0.32923368022705773
281,248,4.298387096774194,39613,413,0.6004842615012107
282,275,2.869090909090909,39657,2540,0.10826771653543307
283,426,1.8286384976525822,40499,2294,0.1857018308631212
284,269,6.368029739776952,40651,960,0.28020833333333334
285,318,4.031446540880503,40753,1563,0.2034548944337812
286,256,4.0546875,40776,1373,0.1864530225782957
287,279,5.111111111111111,40827,1045,0.2669856459330144
288,260,3.273076923076923,41536,3196,0.08135168961201501
289,305,3.495081967213115,41608,2215,0.13769751693002258
290,334,3.9221556886227544,42065,3053,0.10940058958401572
291,1089,2.610651974288338,42084,8726,0.12479944991977997
292,259,3.525096525096525,42094,2586,0.10015467904098994
293,338,5.529585798816568,42127,4775,0.07078534031413612
294,727,2.9023383768913344,42133,8426,0.08628056017089959
295,302,6.357615894039735,42149,1363,0.2215700660308144
296,973,2.2559095580678314,42166,5478,0.17761956918583424
297,272,4.613970588235294,42262,3968,0.06854838709677419
298,680,2.475,42278,3404,0.199764982373678
299,318,3.880503144654088,43221,1006,0.31610337972166996
300,382,1.3429319371727748,43222,1144,0.3339160839160839
301,382,0.0,45027,382,1.0
302,258,4.093023255813954,46036,4514,0.057155516171909615
303,244,3.6147540983606556,46061,2554,0.09553641346906813
304,354,6.2175141242937855,46077,2260,0.15663716814159293
305,521,4.681381957773512,46102,3405,0.15301027900146844
306,380,6.713157894736842,46144,2446,0.1553556827473426
307,680,4.0852941176470585,46171,2925,0.23247863247863249
308,361,4.5595567867036015,46208,2832,0.1274717514124294
309,249,6.056224899598393,46213,4619,0.05390777224507469
310,345,5.6927536231884055,46240,8139,0.042388499815702176
311,288,5.777777777777778,46254,5978,0.04817664770826363
312,684,1.4883040935672514,46259,3614,0.1892639734366353
313,555,7.230630630630631,46262,7110,0.07805907172995781
314,248,8.036290322580646,46265,6301,0.03935883193143946
315,278,7.575539568345324,46282,1303,0.21335379892555642
316,341,7.126099706744868,46285,6100,0.055901639344262295
317,250,3.524,46286,6311,0.039613373474885125
318,283,6.932862190812721,46289,4946,0.05721795390214315
319,358,7.622905027932961,46294,4390,0.0815489749430524
320,1091,6.902841429880843,46296,6350,0.17181102362204725
321,256,5.140625,46304,4903,0.05221293085865796
322,462,7.523809523809524,46311,4800,0.09625
323,1058,5.1323251417769375,46314,8250,0.12824242424242424
324,261,4.505747126436781,46322,1991,0.13108990457056754
325,262,4.17175572519084,46330,927,0.2826321467098166
326,315,3.422222222222222,46353,3372,0.09341637010676157
327,416,0.8605769230769231,46387,3315,0.12549019607843137
328,630,1.465079365079365,46436,1426,0.4417952314165498
329,586,2.131399317406143,46451,2306,0.2541196877710321
330,335,3.4895522388059703,46452,2096,0.15982824427480916
331,391,1.2352941176470589,46453,1011,0.3867457962413452
332,263,3.8250950570342206,46456,646,0.4071207430340557
333,365,8.438356164383562,46462,3408,0.10710093896713616
334,424,8.20754716981132,46467,6522,0.06501073290401717
335,1085,1.6368663594470045,46471,5977,0.1815291952484524
336,244,6.045081967213115,46481,4231,0.05766958165918223
337,276,2.036231884057971,46482,346,0.7976878612716763
338,406,4.051724137931035,46501,1306,0.3108728943338438
339,647,2.35548686244204,46507,2661,0.24314167606163098
340,408,6.245098039215686,46508,5124,0.07962529274004684
341,651,2.165898617511521,46509,8274,0.07868020304568528
342,1096,3.5565693430656933,46510,8985,0.1219810795770729
343,783,3.713920817369093,46514,9354,0.08370750481077614
344,635,2.8661417322834644,46519,2573,0.2467936261173727
345,638,2.572100313479624,46541,5905,0.10804403048264183
346,682,1.9428152492668622,46559,1267,0.5382794001578532
347,375,5.602666666666667,46572,7485,0.050100200400801605
348,726,7.104683195592287,46573,5937,0.12228398180899444
349,804,6.230099502487562,46574,4547,0.17681988124037828
350,248,7.286290322580645,46577,2696,0.09198813056379822
351,443,9.047404063205418,46583,7434,0.059591068065644334
352,249,7.289156626506024,46586,3152,0.078997461928934
353,300,6.386666666666667,46587,1670,0.17964071856287425
354,376,5.63031914893617,46597,8179,0.04597139014549456
355,331,11.166163141993957,46601,3255,0.10168970814132104
356,373,2.7935656836461127,46604,1831,0.20371381758601856
357,595,3.0756302521008405,46612,6724,0.08848899464604403
358,266,9.853383458646617,46686,2147,0.12389380530973451
359,299,5.525083612040134,46721,1567,0.190810465858328
360,401,1.7281795511221945,46803,2149,0.18659841786877618
361,1286,6.422239502332815,46833,12046,0.1067574298522331
362,724,2.1464088397790055,46837,1054,0.6869070208728653
363,371,2.431266846361186,46860,3105,0.11948470209339775
364,393,9.213740458015268,46877,7516,0.05228845130388504
365,272,4.470588235294118,46879,2709,0.10040605389442599
366,418,3.772727272727273,46892,1792,0.23325892857142858
367,440,2.125,46896,2147,0.20493712156497437
368,481,2.494802494802495,46949,2983,0.1612470667113644
369,255,3.3607843137254902,46952,1433,0.1779483600837404
370,608,3.848684210526316,46981,1228,0.495114006514658
371,499,8.324649298597194,46985,3923,0.1271985725210298
372,261,6.390804597701149,47019,2664,0.09797297297297297
373,300,12.24,47021,3326,0.09019843656043296
374,309,9.763754045307444,47045,3662,0.0843801201529219
375,246,4.5894308943089435,47051,1404,0.1752136752136752
376,269,4.349442379182156,47062,1585,0.16971608832807572
377,299,4.846153846153846,47065,2997,0.09976643309976643
378,250,6.112,47079,4896,0.05106209150326797
379,307,5.664495114006515,47089,5908,0.051963439404197696
380,354,1.7796610169491525,47092,1014,0.34911242603550297
381,309,4.563106796116505,47100,6912,0.04470486111111111
382,804,7.4888059701492535,47101,7313,0.10994120060166826
383,283,4.519434628975265,47103,512,0.552734375
384,281,8.676156583629894,47104,6898,0.04073644534647724
385,501,8.27944111776447,47115,4497,0.1114076050700467
386,1313,4.514089870525514,47121,18740,0.0700640341515475
387,444,4.421171171171171,47132,2834,0.15666901905434016
388,332,4.843373493975903,47141,8016,0.04141716566866267
389,539,4.51948051948052,47142,6607,0.08158014227334645
390,336,2.8601190476190474,47148,2642,0.1271763815291446
391,274,4.711678832116788,47160,2291,0.11959842863378438
392,506,3.241106719367589,47174,2039,0.24816086316821973
393,277,8.942238267148014,47195,2300,0.12043478260869565
394,402,10.281094527363184,47203,5249,0.07658601638407316
395,382,2.7041884816753927,47211,2824,0.13526912181303116
396,297,5.750841750841751,47223,1304,0.227760736196319
397,275,2.130909090909091,47234,844,0.32582938388625593
398,244,2.30327868852459,47299,603,0.4046434494195688
399,280,0.8964285714285715,47311,342,0.8187134502923976
400,263,3.828897338403042,47332,1131,0.23253757736516356
401,270,2.6444444444444444,47362,4113,0.06564551422319474
402,638,2.9435736677115987,47369,6479,0.09847198641765705
403,288,4.197916666666667,47370,3876,0.07430340557275542
404,362,9.762430939226519,47371,5029,0.07198250149135017
405,353,6.1303116147308785,47372,5643,0.06255537834485203
406,417,6.7913669064748206,47374,6790,0.06141384388807069
407,472,8.747881355932204,47378,7352,0.06420021762785637
408,525,5.180952380952381,47385,5740,0.09146341463414634
409,720,6.5375,47394,8537,0.08433876068876654
410,537,1.8063314711359404,47396,2343,0.22919334186939821
411,278,1.8633093525179856,47414,673,0.413075780089153
412,280,3.642857142857143,47463,1054,0.2656546489563567
413,390,3.4564102564102566,47500,999,0.39039039039039036
